Museum ID,Museum Name,Museum Type,Institution Name,City (Administrative Location),State (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Income,Revenue
8400200098,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,,ANCHORAGE,AK,,,,602912.0,550236.0
8400200117,ALASKA BOTANICAL GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,ANCHORAGE,AK,,,,1379576.0,1323742.0
8400200153,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,KENAI,AK,,,,740030.0,729080.0
8400200143,ALASKA EDUCATORS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,KENAI,AK,,,,0.0,0.0
8400200027,ALASKA HERITAGE MUSEUM,HISTORY MUSEUM,,ANCHORAGE,AK,,,,602912.0,550236.0
8400200078,ALASKA JEWISH MUSEUM,GENERAL MUSEUM,,ANCHORAGE,AK,1221 E 35TH AVENUE,ANCHORAGE,AK,2658938.0,34374.0
8400200084,ALASKA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,,DOUGLAS,AK,,,,16500.0,16500.0
8400200107,ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,GENERAL MUSEUM,,ANCHORAGE,AK,606 W 4TH AVE,ANCHORAGE,AK,0.0,0.0
8400200073,ALASKA MINING HALL OF FAME FOUNDATION,HISTORY MUSEUM,,FAIRBANKS,AK,,,,184295.0,31393.0
8400200123,ALASKA NATIVE HERITAGE CENTER,GENERAL MUSEUM,,ANCHORAGE,AK,,,,4502727.0,4050394.0
8400200082,ALASKA SPORTS HALL OF FAME,GENERAL MUSEUM,,ANCHORAGE,AK,14815 ECHO CANYON RD,ANCHORAGE,AK,1370930.0,615273.0
8400200044,ALASKA STATE MUSEUM,GENERAL MUSEUM,,JUNEAU,AK,,,,182675.0,129192.0
8400200133,ALASKA TERRITORIAL CAVALRY MOTORIZED,GENERAL MUSEUM,,ANCHORAGE,AK,,,,0.0,0.0
8400200026,ALASKA TROOPER MUSEUM,GENERAL MUSEUM,,ANCHORAGE,AK,,,,769702.0,221807.0
8400200031,ALASKA VETERANS MUSEUM,HISTORY MUSEUM,,ANCHORAGE,AK,,,,0.0,0.0
8400200170,ALASKA WILDLIFE CONSERVATION CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,GIRDWOOD,AK,,,,3331564.0,2793744.0
8400200087,ALASKA ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ANCHORAGE,AK,4731 OMALLEY RD,ANCHORAGE,AK,3310088.0,2393748.0
8400200109,ALPINE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,SUTTON,AK,,,,157509.0,157509.0
8400200152,ALUTIIQ HERITAGE ENDOWMENT,HISTORIC PRESERVATION,,ANCHORAGE,AK,4300 B ST,ANCHORAGE,AK,331826.0,15734.0
8400200135,ALUTIIQ HERITAGE FOUNDATION,GENERAL MUSEUM,,KODIAK,AK,,,,1103875.0,1055839.0
8400200137,ANCHORAGE CLAY ARTS GUILD,ART MUSEUM,,ANCHORAGE,AK,,,,0.0,0.0
8400200132,ANCHORAGE GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,,ANCHORAGE,AK,,,,8282.0,8282.0
8400200125,ANCHORAGE MUSEUM,GENERAL MUSEUM,,ANCHORAGE,AK,625 C STREET,ANCHORAGE,AK,6851982.0,4116780.0
8400200028,BARANOV MUSEUM,HISTORIC PRESERVATION,,KODIAK,AK,,,,333248.0,288158.0
8400200069,BRISTOL BAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,NAKNEK,AK,,,,0.0,0.0
8400200168,BUNNELL STREET GALLERY,ART MUSEUM,,HOMER,AK,,,,335104.0,335104.0
8400200060,CAPE DECISION LIGHTHOUSE SOCIETY,HISTORIC PRESERVATION,,SITKA,AK,,,,0.0,0.0
8400200145,CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,HISTORIC PRESERVATION,,CORDOVA,AK,,,,59819.0,59819.0
8409502921,CARR-GOTTSTEIN GALLERY,ART MUSEUM,ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK,,,,66512448.0,63692296.0
8400200171,CENTER FOR ALASKAN COASTAL STUDIES,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,HOMER,AK,708 SMOKEY BAY WAY,HOMER,AK,914275.0,908922.0
8400200136,CHILKAT INDIAN VILLAGE,HISTORIC PRESERVATION,,HAINES,AK,32 CHILKAT AVE,KLUKWAN,AK,0.0,0.0
8400200070,CHILKAT VALLEY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,HAINES,AK,11 MAIN STREET,HAINES,AK,0.0,0.0
8400200134,CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY,HISTORIC PRESERVATION,,CHUGIAK,AK,18606 OLD GLENN HIGHWAY,CHUGIAK,AK,0.0,0.0
8400200099,CIRCLE DISTRICT HISTORICAL SOCIETY,HISTORIC PRESERVATION,,CENTRAL,AK,,,,0.0,0.0
